,User,Date Created,Tweet
0,Daanntee,2023-01-09 23:59:14+00:00,"dah la single, introvert, ada social anxiety lagi tu huh"
1,deepmeter,2023-01-09 23:56:41+00:00,"bohong anjing, ini anxiety gue tiba-tiba dateng."
2,sofiashrn,2023-01-09 23:52:14+00:00,diketawain abi karna dah dua hari nglike in akun anxiety pas tengah malem:( poor me
3,teasandyou,2023-01-09 23:46:08+00:00,"@Gyurismilee @Askrlfess Kak, ansos sama social anxiety itu beda banget kak. Ansos dari kata anti sosial itu sama artinya kayak psikopat. Cuma psikopat tuh istilah populernya aja. Kalo yg hampir mirip social anxiety tuh mungkin asosial"
4,ateynteyn,2023-01-09 23:05:58+00:00,Bangun pagi terus anxiety. Calculation ada salah. Sigh!
5,rafurace,2023-01-09 23:01:40+00:00,"pas belom jadian aja bapaknya dah ngechat di facebook, mendadak anxiety berhari-hari😭

soalnya selama ini tuh kebanyakan deketnya sama yang punya parental issues/parentless gitu, hahah. it feels like a culture shock tbh 😀

it was a nice experience tho"
6,Isi_Pikiran_,2023-01-09 22:53:10+00:00,"Ga enak pnya anxiety
Suka tremor sendiri it ga lucu"
7,akusipemaluu,2023-01-09 22:46:24+00:00,Apaan bgt tugas ips disuruh drama depan org banyakkk cukk gimana org kayak gw yg punya social anxiety dan terlebih lagi gw blm rela mau lepas masker depan kawan2 😞😞
8,bigsecretofbin,2023-01-09 22:12:58+00:00,ni anxiety beneran ganggu bgt dari semalem bikin gabisa tdr
9,ScottXPierce,2023-01-09 22:07:54+00:00,"Poor cucumber!!

#anxiety    #cucumber    #humanbody    #anxietymemes    #cucumberwater    #jokeoftheday
#RealEstate https://t.co/EKmNJyiprC"
10,bigsecretofbin,2023-01-09 21:55:07+00:00,anxiety bnrn anjing bgt sih
11,nothandom_,2023-01-09 20:43:01+00:00,Anxiety wants me kutsi ngiphambane nemvula. 🫠🫠
12,memieaw,2023-01-09 19:54:31+00:00,"afirmasi diri ""its okay, gpp"" ngaruh cuma beberapa saat doang abis itu balik anxiety lagi"
13,puffpawstry,2023-01-09 19:33:46+00:00,"@tanyakanrl What a cruel world. Benci banget bacanya. Nder, aku tau ini bakal susah buat km since u have anxiety disorder &amp; panic attack. Tp km hrs inget kl dunia isinya beragam, wherever u go pasti ada yg gaksuka sama kamu. Tolong perlahan hirauin mereka ya, u r WORTHY more than u ever know https://t.co/ttAXXXtI0y"
14,rajjaemaan,2023-01-09 18:35:13+00:00,Stress kam krne k liye twitter khola tha. sabki depressing tweets dekh k or anxiety horahi ab lmao
15,ryanvirgiawan_,2023-01-09 18:34:33+00:00,"I live in extreme anxiety

Pagi, bangun ambil ponsel, cek kerjaan

Malam, sebelum tidur cek kerjaan

Hari-hari setiap waktu harus cek WA. Khawatir ada chat, kalau tdk segera dibalas, khawatir lagi akan muncul hal2 lain membuntuti

Kekhawatiran, kegelisahan ini membunuh perlahan."
16,talithaamarsha,2023-01-09 18:15:36+00:00,"Ketika selalu dituntut menjadi perfect di mata orang-orang dan selalu harus mencapai standard tertentu, sudah pasti akan dekat dg perbandingan yang dilakukan ke banyak orang. Dan timbulah insecurity and anxiety."
17,deepakvij912,2023-01-09 18:09:29+00:00,@AaryaMalakar Maine toh abhi se hi site refresh krni start kr di hai anxiety mei
18,FansberatHINDIA,2023-01-09 18:03:18+00:00,"siang makan nasi
kalo malam anxiety."
19,Arafaputra3,2023-01-09 17:54:00+00:00,"Anxiety disorder itu gak enak,ga enak bgt anjng gua sering tiba"" cemas sendiri khawatir bahkan sampe panik dari situ sikap gua bisa tiba"" berubah wkwkwk kenapa ya? Apa karna gua ovt berlebih? Entah lah.tapi kadang kenapa gua gabisa nahan itu ya? Wkwkwk iya gua tau gua lemah"
20,ejijijis,2023-01-09 17:46:36+00:00,"@couprangtii_ Wkskk, anxiety nya semakin menjadi-jadi"
21,jzdn24,2023-01-09 17:46:31+00:00,@picklesl0vers salah gue kira td pertanyaan kenapa elu anxiety wkwkw. semangat mbull
22,_purpleamethys,2023-01-09 17:44:24+00:00,"Dia bilang, dia kalau abis putus cinta dan kalut emang kek gitu. Tapi apa ga mikir ya? Dia posisinya lg pdkt ma gw. Ga mikir apa ya perasaan gw kek apa kalau saat itu gw tau? GWS DEH GW. MORNING ANXIETY MENUNGGU!"
23,akupunyastephen,2023-01-09 17:38:56+00:00,anxiety overthinking insomnia dadi siji peh sedeppppp
24,mnanggis,2023-01-09 17:38:04+00:00,"@Askrlfess yg terakhir iya, ak jd susah bgt mau kenalan sm org baru, g bisa telpon cowok, social anxiety, n i hate myself more than ever"
25,Locospy_,2023-01-09 17:24:19+00:00,"@fireEee007 @RajeshSharmaBJP @theicai Mari ipudu endhuku mastaru tweetu..
Gamuna podugala lesi chuskuntaru ga...ratri release chesthadu emo ani oka doubt anxiety ni create chesindu"
26,picklesl0vers,2023-01-09 17:19:39+00:00,tebak ak hari ini kena anxiety attack brp kali hayo
27,nabilahrizall,2023-01-09 17:15:38+00:00,menyesal ya minum nescafe kan dah kena anxiety
28,hzqaazu,2023-01-09 17:09:00+00:00,aku kena anxiety attack harini😔
29,princessputrin,2023-01-09 17:02:29+00:00,Lg anxiety tp gada org yg peduli. Fck mati aja kali ya
30,purpletintmuse,2023-01-09 16:51:18+00:00,tahun baru.. cari kerjaan baru lagi krn projectnya dah kelar. huhuhu ya allah.. masa2 depresi dan anxiety. yepp welcome back bestie 🥲
31,eydot95,2023-01-09 16:50:27+00:00,"just took 'kl public transport' lesson  from my friend. but first thing first, kena fikir cemana nak buang rasa anxiety bila tgk bangunan tinggi2 ni 🤧"
32,_khanameen,2023-01-09 16:49:16+00:00,Naah bhai insta mere bss ki baat ni hai aur anxiety hoti hai meko
33,Virgouuuh,2023-01-09 16:44:18+00:00,"Selalu menganggap orang anxiety itu lebay
 Lahh tanpa di sadari akhirnya kebagian jugaaa :)"
